Lab No. ,pH,EC,OC,P,K,Ca,Mg,S,Zn,Fe,Mn,Cu,Leaf yield Mt/ha/yr,,,
134,5.8,0.17,0.43,12,47,3,0.9,19.1,0.303,8.175,34.187,1.473,53.48,,,
135,6.1,0.12,1.02,5,209,2.4,0.9,14.84,0.163,18.8,2.225,0.519,54.67,,,
136,5.8,0.13,1.31,5,181,3.3,1,7.08,0.067,7.4,4.025,0.604,54.89,,,
137,5.4,0.12,0.79,5,172,2.9,1.2,14.1,0.07,9.027,28.35,0.453,51.23,,,
138,5.8,0.13,0.67,8,47,1.7,0.7,7.08,1.086,13.862,23.875,1.842,54.69,,,
139,6,0.11,2.01,5,245,1.6,0.8,28.3,0.048,63.925,12.775,0.724,53.64,,,
140,5.8,0.12,1.91,5,432,3,1.8,29,0.194,12.587,13.387,0.614,54.23,,,
141,5.5,0.13,1.31,5,153,2.9,0.7,17.7,0.371,19.55,2.7,1.481,53.87,,,
142,5.8,0.14,0.87,8,140,2.8,1.3,20.5,0.047,19.35,9.337,0.364,55.12,,,
143,5.7,0.11,0.58,12,95,3.5,1.1,14.1,0.072,6.012,9.625,0.627,53.67,,,
144,5.3,0.1,0.87,12,88,3.5,1,2.12,0.096,8.637,6.987,0.747,50.36,,,
145,6.1,0.16,1.02,5,103,1.9,0.5,0.7,0.706,9.287,15.975,1.109,54.97,,,
146,6.1,0.16,1.02,7,332,1.8,1,15.5,0.259,10.4,12.662,0.781,55.11,,,
147,5.3,0.1,1.95,6,90,1.4,0.9,2.83,0.373,7.714,14.039,0.66,49.67,,,
148,5.5,0.06,0.69,14,103,2.2,1.4,9.2,1.283,10.437,15.35,1.877,49.88,,,
149,5.2,0.09,1.39,10,71,1.4,1.2,10.6,0.366,7.488,2.837,0.453,50.92,,,
150,5.2,0.11,1.11,9,62,1,0.5,16.9,0.528,7.954,12.775,0.806,50.87,,,
151,5.4,0.12,0.97,5,112,1.7,1.2,21.9,0.21,4.317,2.762,0.259,50.97,,,
152,5.3,0.13,1.11,8,67,1.6,1.2,10.62,0.421,21.137,11.962,1.371,50.38,,,
153,5.8,0.12,0.69,6,123,2.9,1.3,4.24,0.631,1.852,1.4,1.618,54.87,,,
154,5.6,0.11,0.83,10,101,1.6,0.8,3.54,0.403,1.721,0.462,1.706,53.69,,,
155,5.2,0.09,1.39,7,97,1.1,0.8,6.3,0.227,5.062,9.012,0.336,50.89,,,
156,5.3,0.08,0.69,11,60,1.1,0.7,8.4,0.419,4.012,6.225,0.426,48.96,,,
157,5.5,0.11,0.97,5,103,2.5,1,4.2,0.241,6.127,7.512,0.596,50.97,,,
158,5.5,0.09,1.39,6,112,2.5,0.5,7.7,0.486,4.736,17.587,0.587,50.69,,,
159,5.3,0.12,1.25,7,114,1.2,0.9,8.49,0.196,7.089,2.262,0.471,50.76,,,
160,5.4,0.13,1.53,10,129,2.1,0.9,9.91,0.138,4.948,1.062,0.289,51.12,,,
161,5.5,0.12,0.83,5,60,1.6,0.8,12.7,0.274,7.711,7.675,0.496,50.63,,,
162,5.4,0.1,1.11,7,60,1.1,0.6,8.49,0.457,6.243,0.925,0.628,50.72,,,
163,5.5,0.11,1.25,6,108,2,0.2,3.54,0.517,2.22,3.1,0.969,51.23,,,
164,5.6,0.1,0.41,12,116,1.7,1.1,5.66,0.105,2.441,6.05,0.29,52.69,,,
165,6.1,0.06,1.11,6,37,3.2,0.8,5.66,0.184,2.444,0.762,0.358,55.12,,,
166,6,0.16,0.97,3,39,4.7,0.9,2.83,0.289,2.441,1.65,0.94,54.93,,,
167,6,0.12,0.69,5,34,2.6,1.5,7.7,0.156,2.358,1.312,0.217,55.13,,,
168,6.1,0.13,0.85,4,75,2.1,1.2,13.4,0.441,2.172,18.212,0.218,54.69,,,
169,5.6,0.12,1.25,7,65,2.6,0.6,0.5,0.418,1.903,5.2,0.57,55.23,,,
170,6.1,0.11,0.69,13,77,1.6,1,21.2,0.482,1.742,12.2,0.684,54.69,,,
171,6.2,0.12,0.83,8,47,2.5,1,9.2,0.979,1.596,2.25,1.22,54.87,,,
172,6,0.13,0.55,3,41,2.1,0.9,0.7,0.591,1.424,2.725,0.863,53.96,,,
173,5.5,0.12,1.06,7,52,2,0.9,12,0.409,1.257,6.15,0.435,51.17,,,
174,5.4,0.1,1.59,5,56,2.4,0.6,11.3,0.309,1.105,1.425,0.462,49.87,,,
175,5.4,0.1,1.67,6,65,1.3,0.6,5.66,0.245,0.883,3.112,0.18,50.12,,,
176,5.5,0.09,0.97,4,37,1.5,0.5,19.8,0.398,0.838,2.837,0.42,49.71,,,
177,5.5,0.11,1.25,7,84,2.5,0.5,4.9,0.314,0.724,6.325,0.395,49.89,,,
178,5.6,0.08,1.25,9,86,2,0.3,5.66,0.321,0.611,7.475,0.702,54.79,,,
179,5.5,0.12,1.11,5,45,2.5,0.6,10.62,0.252,0.468,5.8,0.583,51.12,,,
180,6,0.13,0.69,4,54,2.9,2.9,12.7,0.516,0.358,5,1.128,53.69,,,
181,5.8,0.12,1.25,10,69,3.6,0.9,12.7,0.617,16.37,24.4,1.243,54.89,,,
182,5.8,0.11,0.87,9,39,2.1,0.4,12,0.325,15.54,8.32,0.986,54.93,,,
183,5.8,0.12,1.25,13,73,3.2,1.7,11.3,0.521,19.43,21.64,1.16,54.93,,,
184,5.6,0.11,1.39,5,56,3.8,1,10.62,0.563,27.515,15.23,1.692,54.79,,,
185,5.8,0.09,1.53,7,131,5.8,1.2,8.49,0.496,19.83,131.71,2.118,55.23,,,
186,5.8,0.11,1.67,6,116,4.6,2,16.2,0.682,7.04,8.09,0.316,55.34,,,
187,5.8,0.08,1.23,8,73,3.8,1.3,16.2,0.615,16.94,96.21,1.999,54.96,,,
188,5.6,0.11,1.39,7,60,3.1,1.6,9.2,0.464,24.87,14.96,1.739,54.91,,,
189,5.6,0.06,2.09,9,75,4.2,0.9,12,0.482,21.42,34.05,1.704,53.61,,,
190,5.8,0.12,1.39,12,90,4.4,1.1,1.41,0.989,25.91,33.78,2.252,55.32,,,
191,5.8,0.1,0.55,4,80,3.4,2.2,7.1,0.72,22.51,52.88,2.058,52.67,,,
